iter	Logloss
0	0.6664548781
1	0.6446221918
2	0.6241162321
3	0.6116419484
4	0.5965302585
5	0.5838867673
6	0.5721458345
7	0.5611637024
8	0.5523080982
9	0.5450689583
10	0.5386575772
11	0.5315924056
12	0.5262674846
13	0.5218905935
14	0.5184067838
15	0.514574843
16	0.5107163521
17	0.5073390858
18	0.504049589
19	0.5006230166
20	0.4979713186
21	0.4953721929
22	0.4935307125
23	0.4924802431
24	0.4911864404
25	0.4897080603
26	0.4877558871
27	0.4858417684
28	0.484346758
29	0.4826019353
30	0.481168218
31	0.4800935168
32	0.4785651891
33	0.4766863285
34	0.4760401233
35	0.4743050826
36	0.4738189223
37	0.4731256456
38	0.4724339022
39	0.4718228532
40	0.4707136109
41	0.4696919883
42	0.4684710134
43	0.4684140299
44	0.4679455303
45	0.4673827413
46	0.4666903336
47	0.4661394767
48	0.4660989261
49	0.4659695228
50	0.4656415641
51	0.4649827609
52	0.4648450543
53	0.4646250075
54	0.4635205867
55	0.4626288759
56	0.4626282881
57	0.4626229319
58	0.4626226562
59	0.4620188197
60	0.4618392861
61	0.4611186159
62	0.4608417095
63	0.4605076336
64	0.4604777743
65	0.459874362
66	0.459874073
67	0.4594218014
68	0.4592846214
69	0.4592778485
70	0.458257484
71	0.4579825239
72	0.4573628565
73	0.457185076
74	0.4571713469
75	0.4568997395
76	0.4568569168
77	0.4565979265
78	0.4563387863
79	0.4563362502
80	0.4562468781
81	0.4562467451
82	0.455835313
83	0.4555385413
84	0.455219638
85	0.4541507102
86	0.4535280229
87	0.4530912096
88	0.4527861196
89	0.4526552997
90	0.4522518601
91	0.4521863426
92	0.4521327777
93	0.4511851238
94	0.4506274655
95	0.4498393476
96	0.4490505904
97	0.4480332929
98	0.4467968396
99	0.4460739273
